"Tabela 1554 - Pessoas de 10 anos ou mais de idade, por nível de instrução - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Nível de instrução"
"Município","Ano","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo","Não determinado"
"Nazareno (MG)","2010","6833","4095","1105","1299","300","33"
"Nepomuceno (MG)","2010","22168","14454","3450","2993","1193","77"
"Ninheira (MG)","2010","8286","6498","973","530","173","111"
"Nova Belém (MG)","2010","3132","2266","498","308","49","11"
"Nova Era (MG)","2010","15035","8148","2463","3798","597","29"
"Nova Lima (MG)","2010","70906","28335","12054","18048","10180","2288"
"Nova Módica (MG)","2010","3222","2236","432","416","96","43"
"Nova Ponte (MG)","2010","10752","6634","1800","1704","609","6"
"Nova Porteirinha (MG)","2010","6195","4124","914","991","115","51"
"Nova Resende (MG)","2010","13089","8975","1951","1711","442","9"
"Nova Serrana (MG)","2010","61576","34666","13032","11863","1684","331"
"Novo Cruzeiro (MG)","2010","24755","18549","3386","1831","679","310"
"Novo Oriente de Minas (MG)","2010","8657","6683","1014","768","177","15"
"Novorizonte (MG)","2010","4137","3077","529","416","109","8"
"Olaria (MG)","2010","1766","1313","185","194","69","4"
"Olhos-d'Água (MG)","2010","4309","3026","666","434","89","94"
"Olímpio Noronha (MG)","2010","2229","1437","376","300","116","-"
"Oliveira (MG)","2010","34424","20435","5573","6313","1907","196"
"Oliveira Fortes (MG)","2010","1850","1309","271","218","49","2"
"Onça de Pitangui (MG)","2010","2599","1795","384","350","67","3"
"Oratórios (MG)","2010","3845","2697","477","563","107","-"
"Orizânia (MG)","2010","6076","4798","623","487","105","64"
"Ouro Branco (MG)","2010","30582","13488","5244","8754","3044","51"
"Ouro Fino (MG)","2010","27759","15976","4118","5532","2022","112"
"Ouro Preto (MG)","2010","60971","28803","10847","15644","5325","352"
"Ouro Verde de Minas (MG)","2010","5041","3691","595","582","154","18"
"Padre Carvalho (MG)","2010","4626","3268","671","394","115","179"
"Padre Paraíso (MG)","2010","15589","11261","2083","1846","355","44"
"Paineiras (MG)","2010","4154","2935","495","510","212","3"
"Pains (MG)","2010","7043","4257","1128","1208","374","77"
"Pai Pedro (MG)","2010","4947","3457","765","545","169","11"
"Paiva (MG)","2010","1412","904","155","283","70","-"
"Palma (MG)","2010","5772","3318","814","1255","379","7"
"Palmópolis (MG)","2010","5887","4521","652","541","152","20"
"Papagaios (MG)","2010","11827","7288","2048","1778","576","136"
"Paracatu (MG)","2010","71077","35124","13744","17621","4324","265"
"Pará de Minas (MG)","2010","73000","39277","13581","14570","5001","571"
"Paraguaçu (MG)","2010","17645","9888","3337","3269","1067","84"
"Paraisópolis (MG)","2010","16835","8767","3113","3739","1122","94"
"Paraopeba (MG)","2010","19184","10773","3626","3560","1005","221"
"Passabém (MG)","2010","1559","1065","208","220","66","-"
"Passa Quatro (MG)","2010","13467","7499","2256","2917","713","82"
"Passa Tempo (MG)","2010","7277","4698","808","1371","334","67"
"Passa Vinte (MG)","2010","1819","1294","181","264","78","2"
"Passos (MG)","2010","92415","47316","18060","18589","7993","456"
"Patis (MG)","2010","4654","3208","849","463","104","30"
"Patos de Minas (MG)","2010","121389","56334","22689","30280","11694","391"
"Patrocínio (MG)","2010","70532","38895","12031","13725","5298","584"
"Patrocínio do Muriaé (MG)","2010","4670","2889","735","818","228","-"
"Paula Cândido (MG)","2010","7996","5540","1248","876","310","21"
"Paulistas (MG)","2010","4090","2887","515","516","118","55"
"Pavão (MG)","2010","7253","5079","1095","796","219","64"
"Peçanha (MG)","2010","14360","10114","1909","1871","444","22"
"Pedra Azul (MG)","2010","19723","13336","2948","2767","441","231"
"Pedra Bonita (MG)","2010","5408","4128","678","446","118","38"
"Pedra do Anta (MG)","2010","2975","2239","309","308","84","35"
"Pedra do Indaiá (MG)","2010","3400","2036","672","550","142","-"
"Pedra Dourada (MG)","2010","1863","1293","291","222","57","-"
"Pedralva (MG)","2010","9958","6431","1505","1508","502","13"
"Pedras de Maria da Cruz (MG)","2010","8553","5917","1293","970","197","176"
"Pedrinópolis (MG)","2010","2992","1675","503","648","165","-"
"Pedro Leopoldo (MG)","2010","50971","23669","8661","14243","4063","335"
"Pedro Teixeira (MG)","2010","1545","1019","267","195","64","-"
"Pequeri (MG)","2010","2758","1573","511","504","169","2"
"Pequi (MG)","2010","3539","2220","482","592","221","25"
"Perdigão (MG)","2010","7554","4278","1387","1486","383","19"
"Perdizes (MG)","2010","12118","7483","2056","1813","647","120"
"Perdões (MG)","2010","17518","9777","2865","3711","1140","26"
"Periquito (MG)","2010","5862","3877","904","916","78","87"
"Pescador (MG)","2010","3467","2325","442","494","119","86"
"Piau (MG)","2010","2506","1816","279","333","78","-"
"Piedade de Caratinga (MG)","2010","5904","4454","923","466","62","-"
"Piedade de Ponte Nova (MG)","2010","3447","2431","436","440","140","-"
"Piedade do Rio Grande (MG)","2010","4146","2857","541","602","124","21"
"Piedade dos Gerais (MG)","2010","4077","3117","479","355","123","3"
"Pimenta (MG)","2010","7183","4798","1121","861","357","45"
"Pingo-d'Água (MG)","2010","3671","2607","470","475","96","24"
"Pintópolis (MG)","2010","5793","4157","918","512","103","103"
"Piracema (MG)","2010","5682","3978","776","662","242","24"
"Pirajuba (MG)","2010","3930","2240","781","687","206","15"
"Piranga (MG)","2010","14690","11048","1961","1256","405","21"
"Piranguçu (MG)","2010","4545","2848","722","753","200","21"
"Piranguinho (MG)","2010","6910","3822","1223","1409","415","41"
"Pirapetinga (MG)","2010","9075","4847","1539","2111","574","5"
"Pirapora (MG)","2010","44919","20904","8583","11921","3162","348"
"Piraúba (MG)","2010","9510","6081","1451","1441","534","3"
"Pitangui (MG)","2010","21631","11910","3240","5015","1361","106"
"Piumhi (MG)","2010","28048","16270","4573","4666","2260","280"
"Planura (MG)","2010","8737","5012","1724","1540","420","40"
"Poço Fundo (MG)","2010","13986","9636","1748","1715","862","24"
"Poços de Caldas (MG)","2010","133794","58223","24982","35515","14663","410"
"Pocrane (MG)","2010","7862","5552","1208","814","274","15"
"Pompéu (MG)","2010","24598","14629","4760","4011","1120","78"
"Ponte Nova (MG)","2010","49856","26987","8257","10458","4041","112"
"Ponto Chique (MG)","2010","3249","2215","405","451","144","34"
"Ponto dos Volantes (MG)","2010","9156","6625","1150","906","226","248"
"Porteirinha (MG)","2010","32243","20622","5184","5176","1146","115"
"Porto Firme (MG)","2010","9158","6292","1344","1114","329","79"
"Poté (MG)","2010","13119","9334","1587","1770","388","40"
"Pouso Alegre (MG)","2010","113733","49251","21473","29904","12806","299"
"Pouso Alto (MG)","2010","5524","3623","843","820","206","32"
"Prados (MG)","2010","7224","4648","1175","1081","310","11"
"Prata (MG)","2010","22107","13841","4072","3179","853","161"
"Pratápolis (MG)","2010","7800","4533","1211","1544","481","30"
"Pratinha (MG)","2010","2879","1673","549","481","141","36"
"Presidente Bernardes (MG)","2010","4740","3339","672","538","144","47"
"Presidente Juscelino (MG)","2010","3362","2443","424","405","70","19"
"Presidente Kubitschek (MG)","2010","2431","1735","355","230","104","7"
"Presidente Olegário (MG)","2010","16164","9954","2846","2568","731","65"
"Alto Jequitibá (MG)","2010","7148","4678","1233","896","313","27"
"Prudente de Morais (MG)","2010","8193","4528","1430","1896","288","50"
"Quartel Geral (MG)","2010","2813","1812","501","381","110","9"
"Queluzito (MG)","2010","1678","1080","278","233","58","31"
"Raposos (MG)","2010","13258","6533","2816","3309","516","85"
"Raul Soares (MG)","2010","20637","13876","2842","2925","808","186"
"Recreio (MG)","2010","9099","5340","1445","1860","434","21"
"Reduto (MG)","2010","5465","4024","661","615","150","15"
"Resende Costa (MG)","2010","9570","6254","1305","1597","402","12"
"Resplendor (MG)","2010","14642","9459","2290","2148","615","129"
"Ressaquinha (MG)","2010","4132","2675","618","690","149","-"
"Riachinho (MG)","2010","6699","4388","1052","963","230","66"
"Riacho dos Machados (MG)","2010","7709","5058","1330","1113","201","6"
"Ribeirão das Neves (MG)","2010","248479","144645","46626","50276","4617","2314"
"Ribeirão Vermelho (MG)","2010","3370","1660","571","911","227","-"
"Rio Acima (MG)","2010","7885","4981","1234","1396","269","5"
"Rio Casca (MG)","2010","12148","8139","1691","1815","494","9"
"Rio Doce (MG)","2010","2191","1455","276","351","109","-"
"Rio do Prado (MG)","2010","4411","3151","635","458","153","14"
"Rio Espera (MG)","2010","5293","3996","610","511","175","2"
"Rio Manso (MG)","2010","4656","3441","523","515","168","8"
"Rio Novo (MG)","2010","7626","4164","1221","1745","481","15"
"Rio Paranaíba (MG)","2010","10238","6765","1527","1384","554","8"
"Rio Pardo de Minas (MG)","2010","24207","16915","3553","2985","699","55"
"Rio Piracicaba (MG)","2010","12312","7533","1887","2070","542","280"
"Rio Pomba (MG)","2010","15085","8599","2213","3383","875","15"
"Rio Preto (MG)","2010","4617","2768","751","793","291","14"
"Rio Vermelho (MG)","2010","11302","8583","1473","913","273","59"
"Ritápolis (MG)","2010","4376","3043","573","622","135","3"
"Rochedo de Minas (MG)","2010","1812","1152","287","326","47","-"
"Rodeiro (MG)","2010","5901","3811","1263","614","201","13"
"Romaria (MG)","2010","3091","1828","535","575","128","26"
"Rosário da Limeira (MG)","2010","3683","2506","525","521","105","25"
"Rubelita (MG)","2010","6485","4965","725","590","154","51"
"Rubim (MG)","2010","8424","6273","938","977","176","60"
"Sabará (MG)","2010","107704","52538","19899","29039","5489","740"
"Sabinópolis (MG)","2010","13258","9117","1839","1710","446","146"
"Sacramento (MG)","2010","20647","11603","3788","3591","1403","262"
"Salinas (MG)","2010","33650","21896","5171","5006","1438","139"
"Salto da Divisa (MG)","2010","5618","4130","512","688","170","118"
"Santa Bárbara (MG)","2010","23801","12131","4368","5753","1348","202"
"Santa Bárbara do Leste (MG)","2010","6529","4794","858","688","185","3"
"Santa Bárbara do Monte Verde (MG)","2010","2410","1823","343","164","80","-"
"Santa Bárbara do Tugúrio (MG)","2010","3979","2776","588","507","101","6"
"Santa Cruz de Minas (MG)","2010","6754","3861","1235","1459","198","-"
"Santa Cruz de Salinas (MG)","2010","3682","2800","388","366","59","70"
"Santa Cruz do Escalvado (MG)","2010","4351","3179","693","300","163","16"
"Santa Efigênia de Minas (MG)","2010","3829","2752","515","393","97","72"
"Santa Fé de Minas (MG)","2010","3269","2185","552","419","84","30"
"Santa Helena de Minas (MG)","2010","4828","3376","664","695","94","-"
"Santa Juliana (MG)","2010","9649","5706","1752","1615","492","85"
"Santa Luzia (MG)","2010","171848","89056","32447","42759","5943","1643"
"Santa Margarida (MG)","2010","12428","9388","1338","1322","352","28"
"Santa Maria de Itabira (MG)","2010","9012","6281","1065","1116","325","224"
"Santa Maria do Salto (MG)","2010","4488","3208","635","541","104","-"
"Santa Maria do Suaçuí (MG)","2010","12032","8471","1593","1423","481","64"
"Santana da Vargem (MG)","2010","6175","3832","864","1167","312","-"
"Santana de Cataguases (MG)","2010","3190","1879","562","606","143","-"
"Santana de Pirapama (MG)","2010","6936","5107","893","774","152","10"
"Santana do Deserto (MG)","2010","3340","2097","491","626","126","-"
"Santana do Garambéu (MG)","2010","1935","1317","223","342","52","-"
"Santana do Jacaré (MG)","2010","4033","2751","445","587","228","22"
"Santana do Manhuaçu (MG)","2010","7146","5237","914","799","138","57"
"Santana do Paraíso (MG)","2010","22771","13314","4344","4224","724","165"
"Santana do Riacho (MG)","2010","3504","2289","523","546","132","14"
"Santana dos Montes (MG)","2010","3292","2277","439","491","79","5"
"Santa Rita de Caldas (MG)","2010","8022","5157","1457","955","439","14"
"Santa Rita de Jacutinga (MG)","2010","4446","2871","637","668","262","8"
"Santa Rita de Minas (MG)","2010","5558","4062","801","533","145","16"
"Santa Rita de Ibitipoca (MG)","2010","3090","2243","372","404","71","-"
"Santa Rita do Itueto (MG)","2010","4836","3604","726","399","106","-"
"Santa Rita do Sapucaí (MG)","2010","32401","17150","4984","6989","3176","102"
"Santa Rosa da Serra (MG)","2010","2730","1750","419","366","194","-"
"Santa Vitória (MG)","2010","15720","9606","2404","2445","1116","150"
"Santo Antônio do Amparo (MG)","2010","14796","9306","2593","2169","632","96"
"Santo Antônio do Aventureiro (MG)","2010","3110","2161","398","405","146","-"
"Santo Antônio do Grama (MG)","2010","3568","2525","424","497","122","-"
"Santo Antônio do Itambé (MG)","2010","3365","2612","411","268","73","-"
"Santo Antônio do Jacinto (MG)","2010","9846","7639","1083","867","257","-"
"Santo Antônio do Monte (MG)","2010","22320","12403","5148","3624","1129","16"
"Santo Antônio do Retiro (MG)","2010","5705","4222","713","596","138","36"
"Santo Antônio do Rio Abaixo (MG)","2010","1519","987","246","234","52","-"
"Santo Hipólito (MG)","2010","2764","1910","406","355","85","8"
"Santos Dumont (MG)","2010","40608","19683","7179","11028","2644","75"
"São Bento Abade (MG)","2010","3799","2418","790","476","116","-"
"São Brás do Suaçuí (MG)","2010","3110","1960","441","464","227","17"
"São Domingos das Dores (MG)","2010","4530","3155","799","462","113","-"
"São Domingos do Prata (MG)","2010","15211","9761","2265","2499","654","32"
"São Félix de Minas (MG)","2010","2871","2057","347","305","57","104"
"São Francisco (MG)","2010","43928","28325","7139","6384","1736","344"
"São Francisco de Paula (MG)","2010","5657","3899","631","913","210","3"
"São Francisco de Sales (MG)","2010","4984","3133","785","723","202","141"
"São Francisco do Glória (MG)","2010","4515","3093","574","626","216","6"
"São Geraldo (MG)","2010","8892","5952","1298","1168","424","50"
"São Geraldo da Piedade (MG)","2010","3678","2670","584","332","93","-"
"São Geraldo do Baixio (MG)","2010","2940","2179","370","275","96","21"
"São Gonçalo do Abaeté (MG)","2010","5218","3463","728","749","255","24"
"São Gonçalo do Pará (MG)","2010","8938","5859","1293","1347","419","20"
"São Gonçalo do Rio Abaixo (MG)","2010","8379","5386","1142","1441","265","145"
"São Gonçalo do Sapucaí (MG)","2010","20529","12136","3189","3481","1658","66"
"São Gotardo (MG)","2010","27127","15577","5070","4768","1600","112"
"São João Batista do Glória (MG)","2010","6042","3732","1003","1014","277","16"
"São João da Lagoa (MG)","2010","3983","2696","567","535","127","57"
"São João da Mata (MG)","2010","2435","1618","462","284","65","7"
"São João da Ponte (MG)","2010","21371","16698","2489","1578","560","45"
"São João das Missões (MG)","2010","8869","6818","891","833","226","101"
"São João del Rei (MG)","2010","74664","35181","13306","18466","7512","199"
"São João do Manhuaçu (MG)","2010","8523","5947","992","1212","298","74"
"São João do Manteninha (MG)","2010","4498","3170","631","575","85","36"
"São João do Oriente (MG)","2010","6840","4795","950","844","243","8"
"São João do Pacuí (MG)","2010","3388","2400","408","330","120","131"
"São João do Paraíso (MG)","2010","18951","13420","2357","2679","480","16"
"São João Evangelista (MG)","2010","13242","9028","1822","1872","486","35"
"São João Nepomuceno (MG)","2010","22088","12770","3691","4304","1280","44"
"São Joaquim de Bicas (MG)","2010","21616","13559","3553","3828","536","141"
"São José da Barra (MG)","2010","5806","3242","1033","1210","304","17"
"São José da Lapa (MG)","2010","16868","8546","3354","4116","647","204"
"São José da Safira (MG)","2010","3317","2467","501","269","76","3"
"São José da Varginha (MG)","2010","3560","2193","667","486","156","58"
"São José do Alegre (MG)","2010","3492","2147","512","719","105","10"
"São José do Divino (MG)","2010","3215","2048","532","507","129","-"
"São José do Goiabal (MG)","2010","4898","3187","719","775","195","23"
"São José do Jacuri (MG)","2010","5511","4208","653","447","187","17"
"São José do Mantimento (MG)","2010","2206","1469","340","324","67","5"
"São Lourenço (MG)","2010","36498","16733","6955","8640","3887","283"
