"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Terra Roxa (PR)","2021","798","766","3888","2975","3025.27","88242","2.0","2243.72"
"Tibagi (PR)","2021","633","616","3072","2308","2327.18","79033","2.4","2612.37"
"Tijucas do Sul (PR)","2021","451","445","2705","2169","2080.24","62208","2.1","2300.32"
"Toledo (PR)","2021","8131","7850","65934","53365","54080.07","1828930","2.4","2601.46"
"Tomazina (PR)","2021","212","205","1310","1068","1001.33","25928","1.8","1991.83"
"Três Barras do Paraná (PR)","2021","306","301","1988","1677","1690.94","51430","2.1","2339.61"
"Tunas do Paraná (PR)","2021","203","199","1373","1146","1201.13","28063","1.6","1797.21"
"Tuneiras do Oeste (PR)","2021","175","169","933","741","730.14","18678","1.8","1967.78"
"Tupãssi (PR)","2021","239","232","1575","1297","1074.61","38339","2.5","2744.41"
"Turvo (PR)","2021","395","381","2791","2350","2309.97","74607","2.3","2484.44"
"Ubiratã (PR)","2021","903","879","10355","9096","10325.79","234242","1.6","1745.01"
"Umuarama (PR)","2021","6067","5878","40087","32038","31462.37","936135","2.1","2288.78"
"União da Vitória (PR)","2021","2332","2244","17341","14343","13905.27","423839","2.1","2344.65"
"Uniflor (PR)","2021","77","76","460","361","356.42","10126","2.0","2185.51"
"Uraí (PR)","2021","303","297","1678","1318","1295.32","37891","2.0","2250.18"
"Wenceslau Braz (PR)","2021","791","768","4619","3680","3570.50","96012","1.9","2068.49"
"Ventania (PR)","2021","231","225","2078","1847","1869.03","53765","2.0","2212.80"
"Vera Cruz do Oeste (PR)","2021","257","255","1339","1006","1013.63","28595","2.0","2170.06"
"Verê (PR)","2021","399","386","1980","1523","1505.24","43655","2.0","2230.90"
"Alto Paraíso (PR)","2021","92","92","632","521","496.28","16411","2.3","2543.64"
"Doutor Ulysses (PR)","2021","66","66","432","376","365.98","10579","2.0","2223.53"
"Virmond (PR)","2021","106","103","747","597","555.81","15555","2.0","2152.84"
"Vitorino (PR)","2021","350","347","2097","1740","1711.78","56644","2.3","2545.44"
"Xambrê (PR)","2021","147","147","751","602","590.33","15761","1.9","2053.72"
"Abdon Batista (SC)","2021","138","137","710","580","570.10","19843","2.4","2677.35"
"Abelardo Luz (SC)","2021","652","637","4801","4241","4304.36","137674","2.2","2460.36"
"Agrolândia (SC)","2021","584","570","4313","3583","3422.70","113643","2.3","2554.05"
"Agronômica (SC)","2021","313","312","1620","1181","1193.59","38094","2.2","2455.06"
"Água Doce (SC)","2021","300","293","1841","1478","1509.52","55913","2.6","2849.26"
"Águas de Chapecó (SC)","2021","146","139","716","595","577.61","17654","2.1","2351.01"
"Águas Frias (SC)","2021","167","164","807","648","653.35","23519","2.5","2769.01"
"Águas Mornas (SC)","2021","241","238","1448","1145","1165.73","35276","2.1","2327.78"
"Alfredo Wagner (SC)","2021","351","347","1689","1268","1272.91","33559","1.8","2027.98"
"Alto Bela Vista (SC)","2021","74","74","383","307","299.53","10766","2.5","2764.95"
"Anchieta (SC)","2021","320","318","1439","1113","1127.56","33489","2.1","2284.63"
"Angelina (SC)","2021","177","175","1050","845","844.39","24519","2.0","2233.70"
"Anita Garibaldi (SC)","2021","225","222","1445","1205","1252.15","34547","1.9","2122.29"
"Anitápolis (SC)","2021","125","125","646","506","485.81","12998","1.9","2058.12"
"Antônio Carlos (SC)","2021","522","513","3298","2635","2631.79","88278","2.3","2580.23"
"Apiúna (SC)","2021","438","425","3593","3109","3080.99","92899","2.1","2319.41"
"Arabutã (SC)","2021","178","177","976","831","802.28","28867","2.5","2767.82"
"Araquari (SC)","2021","2422","2368","20176","17342","17364.26","661079","2.7","2928.56"
"Araranguá (SC)","2021","3392","3259","20469","16050","15803.58","492403","2.2","2396.74"
"Armazém (SC)","2021","439","436","3057","2486","2465.56","63614","1.8","1984.68"
"Arroio Trinta (SC)","2021","224","221","1109","897","831.17","25055","2.1","2318.77"
"Arvoredo (SC)","2021","118","117","825","729","826.84","23604","2.0","2195.92"
"Ascurra (SC)","2021","492","482","3265","2606","2562.65","72762","2.0","2184.10"
"Atalanta (SC)","2021","150","149","720","584","572.65","18484","2.3","2482.98"
"Aurora (SC)","2021","225","219","1976","1766","1730.76","53391","2.2","2372.95"
"Balneário Arroio do Silva (SC)","2021","338","332","1643","1250","1148.00","30815","1.9","2064.82"
"Balneário Camboriú (SC)","2021","13983","13572","70779","53427","50232.69","1819976","2.5","2786.99"
"Balneário Barra do Sul (SC)","2021","345","342","1637","1220","1176.69","43692","2.6","2856.23"
"Balneário Gaivota (SC)","2021","342","336","1756","1350","1380.03","37695","1.9","2101.12"
"Bandeirante (SC)","2021","66","65","476","410","455.80","14400","2.2","2430.21"
"Barra Bonita (SC)","2021","39","39","198","167","177.79","6248","2.5","2703.31"
"Barra Velha (SC)","2021","1546","1501","10123","8269","8122.61","275793","2.4","2611.83"
"Bela Vista do Toldo (SC)","2021","112","109","617","514","529.10","15184","2.0","2207.59"
"Belmonte (SC)","2021","84","83","354","295","298.39","10884","2.6","2805.93"
"Benedito Novo (SC)","2021","493","484","3779","3139","3137.50","100634","2.2","2467.27"
"Biguaçu (SC)","2021","3279","3227","20329","16523","16375.96","581729","2.5","2732.57"
"Blumenau (SC)","2021","25797","24745","173791","138831","137089.39","5708721","2.9","3203.26"
"Bocaina do Sul (SC)","2021","76","76","571","474","512.27","11809","1.6","1773.22"
"Bombinhas (SC)","2021","1895","1831","8560","6596","5587.41","172423","2.2","2373.78"
"Bom Jardim da Serra (SC)","2021","122","121","742","593","634.01","20103","2.2","2439.01"
"Bom Jesus (SC)","2021","130","127","576","472","456.85","15105","2.3","2543.40"
"Bom Jesus do Oeste (SC)","2021","79","77","346","282","279.29","9445","2.4","2601.45"
"Bom Retiro (SC)","2021","340","333","1873","1541","1513.63","39927","1.8","2029.09"
"Botuverá (SC)","2021","234","229","2757","2435","2430.37","97263","2.8","3078.45"
"Braço do Norte (SC)","2021","1807","1761","14976","12343","12667.37","373349","2.1","2267.17"
"Braço do Trombudo (SC)","2021","163","159","1507","1287","1294.71","49216","2.7","2924.08"
"Brunópolis (SC)","2021","60","55","455","380","370.69","11484","2.2","2383.06"
"Brusque (SC)","2021","8869","8450","65635","53795","53962.32","1929861","2.5","2751.01"
"Caçador (SC)","2021","2912","2767","28764","25705","26578.00","984847","2.6","2850.38"
"Caibi (SC)","2021","280","274","1827","1516","1506.20","53127","2.5","2713.23"
"Calmon (SC)","2021","79","79","671","598","571.22","15228","1.9","2050.67"
"Camboriú (SC)","2021","3240","3169","17373","13087","12734.79","406495","2.2","2455.39"
"Capão Alto (SC)","2021","67","67","730","616","644.14","21006","2.3","2508.54"
"Campo Alegre (SC)","2021","532","519","6251","5645","5791.30","185571","2.2","2464.85"
"Campo Belo do Sul (SC)","2021","164","158","1409","1229","1240.48","37033","2.1","2296.45"
"Campo Erê (SC)","2021","366","362","2287","1870","1922.74","54526","2.0","2181.43"
"Campos Novos (SC)","2021","1543","1484","11970","10411","10863.63","397502","2.6","2814.63"
"Canelinha (SC)","2021","508","506","3415","2807","2712.40","74238","1.9","2105.36"
"Canoinhas (SC)","2021","2233","2154","15170","12461","12815.23","422006","2.3","2533.08"
"Capinzal (SC)","2021","1044","1016","10681","9517","9917.82","311278","2.2","2414.29"
"Capivari de Baixo (SC)","2021","648","636","5239","4495","4836.95","183260","2.6","2914.42"
"Catanduvas (SC)","2021","601","589","4000","3352","3295.62","126991","2.7","2964.10"
"Caxambu do Sul (SC)","2021","146","143","802","646","669.79","23216","2.4","2666.27"
"Celso Ramos (SC)","2021","94","94","636","500","491.64","13589","1.9","2126.23"
"Cerro Negro (SC)","2021","49","48","348","292","282.73","9370","2.3","2549.19"
"Chapadão do Lageado (SC)","2021","74","74","322","263","274.21","9197","2.3","2580.09"
"Chapecó (SC)","2021","14691","14119","111716","95114","94219.20","3689139","2.7","3011.91"
"Cocal do Sul (SC)","2021","790","779","6674","5590","5587.02","224264","2.8","3087.71"
"Concórdia (SC)","2021","4463","4327","35333","30503","30663.93","1086529","2.5","2725.65"
"Cordilheira Alta (SC)","2021","342","339","2409","2018","2052.34","77771","2.6","2914.93"
"Coronel Freitas (SC)","2021","446","441","2566","2081","2108.87","65744","2.2","2398.08"
"Coronel Martins (SC)","2021","45","42","284","204","202.27","6983","2.4","2655.46"
"Corupá (SC)","2021","607","595","5502","4701","4677.02","163913","2.5","2695.89"
"Correia Pinto (SC)","2021","453","444","3980","3485","3175.56","111673","2.5","2705.10"
"Criciúma (SC)","2021","11735","11311","86897","71967","71450.67","2602909","2.5","2802.27"
"Cunha Porã (SC)","2021","671","653","3901","3119","3090.35","104186","2.4","2593.34"
"Cunhataí (SC)","2021","80","80","401","332","350.04","9243","1.8","2031.15"
"Curitibanos (SC)","2021","1462","1380","10888","9418","9563.08","308325","2.3","2480.09"
"Descanso (SC)","2021","460","453","1559","1098","1160.55","33829","2.0","2242.22"
"Dionísio Cerqueira (SC)","2021","658","649","3093","2300","2235.07","65681","2.1","2260.51"
"Dona Emma (SC)","2021","191","188","1555","1302","1292.02","35172","1.9","2094.06"
"Doutor Pedrinho (SC)","2021","171","171","1175","910","972.51","29323","2.1","2319.37"
"Entre Rios (SC)","2021","67","66","310","275","282.25","8011","2.0","2183.31"
"Ermo (SC)","2021","63","62","1006","939","935.30","28075","2.1","2309.05"
"Erval Velho (SC)","2021","229","228","1067","835","851.19","23836","2.0","2154.13"
"Faxinal dos Guedes (SC)","2021","466","455","4263","3664","3649.27","113448","2.2","2391.38"
"Flor do Sertão (SC)","2021","45","45","449","396","375.97","11775","2.2","2409.20"
"Florianópolis (SC)","2021","37435","35905","337377","288928","299069.85","19446274","4.5","5001.73"
"Formosa do Sul (SC)","2021","128","127","429","301","354.42","11947","2.4","2592.90"
"Forquilhinha (SC)","2021","1024","1003","9916","8533","8617.51","284272","2.3","2537.52"
"Fraiburgo (SC)","2021","1398","1335","10513","8977","9407.96","285948","2.1","2338.02"
"Frei Rogério (SC)","2021","51","50","338","284","315.22","9246","2.1","2256.21"
"Galvão (SC)","2021","99","97","496","381","374.16","13053","2.4","2683.54"
"Garopaba (SC)","2021","1511","1454","8465","6410","6105.49","183474","2.1","2311.59"
"Garuva (SC)","2021","921","912","5530","4410","4455.76","155251","2.4","2680.22"
"Gaspar (SC)","2021","4310","4207","32436","26590","26950.92","924312","2.4","2638.16"
"Governador Celso Ramos (SC)","2021","659","642","3864","3158","3010.47","98194","2.3","2509.05"
"Grão-Pará (SC)","2021","297","291","2211","1816","1860.55","52473","2.0","2169.48"
"Gravatal (SC)","2021","549","524","3536","2907","2927.34","80661","1.9","2119.56"
"Guabiruba (SC)","2021","1120","1095","9042","7448","7579.99","265172","2.4","2691.01"
"Guaraciaba (SC)","2021","430","420","2627","2260","2292.15","63558","1.9","2132.95"
"Guaramirim (SC)","2021","1866","1814","16886","14888","14765.84","566219","2.7","2949.74"
"Guarujá do Sul (SC)","2021","271","269","1207","931","949.07","27900","2.1","2261.31"
"Guatambú (SC)","2021","279","277","2957","2597","2530.99","84293","2.3","2561.87"
"Herval d'Oeste (SC)","2021","677","661","5054","4284","4153.48","135193","2.3","2503.79"
"Ibiam (SC)","2021","89","88","498","260","268.54","9099","2.4","2606.37"
"Ibicaré (SC)","2021","154","153","1162","963","932.72","42154","3.2","3476.53"
"Ibirama (SC)","2021","970","944","7401","6349","6646.41","204043","2.1","2361.52"
"Içara (SC)","2021","2677","2630","23688","20317","19924.52","642362","2.3","2479.98"
"Ilhota (SC)","2021","732","685","4902","4056","3989.77","121351","2.1","2339.65"
"Imaruí (SC)","2021","278","277","1496","1202","1196.37","30234","1.8","1943.95"
"Imbituba (SC)","2021","2320","2267","13411","10508","10098.90","335842","2.3","2558.10"
"Imbuia (SC)","2021","227","226","1145","906","834.32","25558","2.1","2356.39"
"Indaial (SC)","2021","3619","3513","31795","27343","27208.79","880409","2.3","2489.04"
"Iomerê (SC)","2021","129","128","861","711","706.99","22690","2.2","2468.76"
"Ipira (SC)","2021","185","184","664","492","513.21","16245","2.2","2434.86"
"Iporã do Oeste (SC)","2021","486","483","2132","1722","1729.62","52620","2.1","2340.22"
"Ipuaçu (SC)","2021","161","158","1674","1547","1647.33","49623","2.1","2317.18"
"Ipumirim (SC)","2021","289","283","3894","3640","3514.00","101076","2.0","2212.61"
"Iraceminha (SC)","2021","152","149","550","414","408.28","13772","2.4","2594.81"
"Irani (SC)","2021","450","446","2072","1678","1658.90","52897","2.2","2452.83"
"Irati (SC)","2021","62","60","505","432","410.66","14251","2.4","2669.47"
"Irineópolis (SC)","2021","278","266","1381","1100","1113.21","36870","2.3","2547.70"
"Itá (SC)","2021","391","378","2094","1673","1692.38","62992","2.6","2863.15"
"Itaiópolis (SC)","2021","643","625","5009","4432","4509.75","140691","2.2","2399.78"
"Itajaí (SC)","2021","16900","16288","119505","99453","96577.73","4120123","3.0","3281.63"
"Itapema (SC)","2021","5907","5734","30773","22865","22015.05","692509","2.2","2419.71"
"Itapiranga (SC)","2021","812","793","8274","7300","7633.12","223199","2.0","2249.30"
"Itapoá (SC)","2021","1186","1159","6489","4957","4597.36","198339","3.0","3318.61"
"Ituporanga (SC)","2021","1273","1248","8499","7021","7055.94","226798","2.2","2472.52"
"Jaborá (SC)","2021","182","182","1021","802","833.39","24026","2.0","2217.63"
"Jacinto Machado (SC)","2021","358","340","2879","2390","2325.85","74726","2.2","2471.42"
"Jaguaruna (SC)","2021","896","884","7329","6266","6136.51","173305","2.0","2172.43"
"Jaraguá do Sul (SC)","2021","10198","9738","84173","71493","70595.49","3290253","3.3","3585.16"
"Jardinópolis (SC)","2021","77","77","375","298","269.42","9689","2.5","2766.44"
"Joaçaba (SC)","2021","2449","2366","19098","16181","16272.41","604833","2.6","2859.17"
"Joinville (SC)","2021","31332","29833","264968","224516","220827.14","9037024","2.9","3147.96"
"José Boiteux (SC)","2021","188","187","1215","980","1023.52","27430","1.9","2061.50"
"Jupiá (SC)","2021","57","56","350","276","283.26","9888","2.4","2685.15"
"Lacerdópolis (SC)","2021","122","118","683","534","536.68","18609","2.4","2667.25"
"Lages (SC)","2021","6842","6531","51522","43236","43667.10","1403749","2.2","2472.82"
"Laguna (SC)","2021","1588","1556","8666","6977","6847.55","192562","2.0","2163.18"
"Lajeado Grande (SC)","2021","55","55","260","212","221.49","7720","2.4","2681.03"
"Laurentino (SC)","2021","447","436","2495","2034","2081.44","67330","2.3","2488.30"
"Lauro Müller (SC)","2021","546","537","4239","3530","3574.92","142672","2.8","3069.93"
"Lebon Régis (SC)","2021","295","287","1452","1168","1288.28","35970","2.0","2147.75"
"Leoberto Leal (SC)","2021","93","91","555","464","444.12","14179","2.2","2455.92"
"Lindóia do Sul (SC)","2021","191","191","757","550","603.62","17529","2.0","2233.85"
"Lontras (SC)","2021","596","588","3928","3202","3389.61","104595","2.2","2373.66"
"Luiz Alves (SC)","2021","617","608","5641","4829","4880.97","156292","2.2","2463.13"
"Luzerna (SC)","2021","359","356","2148","1769","1852.40","88894","3.4","3691.42"
"Macieira (SC)","2021","66","66","324","265","299.08","8688","2.0","2234.67"
"Mafra (SC)","2021","2208","2120","15836","13567","13233.53","437513","2.3","2543.15"
"Major Gercino (SC)","2021","116","116","671","524","545.42","14322","1.8","2019.89"
"Major Vieira (SC)","2021","202","200","1054","833","877.61","27195","2.2","2383.69"
"Maracajá (SC)","2021","293","290","2243","1910","1910.49","55578","2.0","2237.76"
"Maravilha (SC)","2021","1457","1410","12219","10540","10496.76","330707","2.2","2423.51"
"Marema (SC)","2021","51","50","286","233","226.69","8851","2.7","3003.38"
"Massaranduba (SC)","2021","827","813","6258","5216","5324.96","174633","2.3","2522.71"
"Matos Costa (SC)","2021","63","62","389","337","351.16","8946","1.8","1959.59"
"Meleiro (SC)","2021","363","360","1876","1325","1317.63","41924","2.2","2447.49"
"Mirim Doce (SC)","2021","86","86","630","516","547.65","14899","1.9","2092.76"
"Modelo (SC)","2021","238","234","1094","948","941.75","28001","2.1","2287.17"
"Mondaí (SC)","2021","457","456","3492","2971","3617.09","89421","1.7","1901.68"
"Monte Carlo (SC)","2021","235","226","2025","1790","1979.97","52717","1.9","2048.11"
"Monte Castelo (SC)","2021","254","244","1414","1124","1092.81","27741","1.8","1952.68"
"Morro da Fumaça (SC)","2021","890","879","7287","6098","6352.72","217305","2.4","2631.28"
"Morro Grande (SC)","2021","85","83","629","504","513.51","14545","2.0","2178.89"
"Navegantes (SC)","2021","2920","2826","26026","22637","22819.37","813695","2.5","2742.93"
"Nova Erechim (SC)","2021","256","251","1392","1254","1414.85","42499","2.1","2310.62"
"Nova Itaberaba (SC)","2021","142","141","839","708","693.98","25642","2.6","2842.27"
"Nova Trento (SC)","2021","791","778","7184","6184","6530.49","184660","2.0","2175.12"
"Nova Veneza (SC)","2021","724","696","8269","7326","7338.51","241888","2.3","2535.50"
"Novo Horizonte (SC)","2021","81","80","586","509","502.33","15822","2.2","2422.90"
